20161101 025600;1.096550;1.096620;1.096530;1.096620
20161101 025700;1.096610;1.096610;1.096600;1.096610
20161101 025800;1.096590;1.096630;1.096530;1.096530
20161101 025900;1.096530;1.096530;1.096420;1.096470
20161101 030000;1.096460;1.096480;1.096370;1.096410
20161101 030100;1.096410;1.096460;1.096350;1.096460
20161101 030200;1.096460;1.096520;1.096360;1.096460
20161101 030300;1.096460;1.096470;1.096410;1.096460
20161101 030400;1.096490;1.096510;1.096430;1.096460
20161101 030500;1.096470;1.096630;1.096430;1.096620
20161101 030600;1.096560;1.096560;1.096420;1.096520
20161101 030700;1.096520;1.096560;1.096510;1.096510
20161101 030800;1.096520;1.096570;1.096430;1.096510
20161101 030900;1.096500;1.096600;1.096500;1.096600
20161101 031000;1.096620;1.096660;1.096600;1.096640
20161101 031100;1.096610;1.096670;1.096570;1.096630
20161101 031200;1.096620;1.096690;1.096600;1.096630
20161101 031300;1.096630;1.096770;1.096630;1.096750
20161101 031400;1.096760;1.096770;1.096660;1.096690
20161101 031500;1.096650;1.096700;1.096620;1.096660
20161101 031600;1.096650;1.096880;1.096650;1.096860
20161101 031700;1.096870;1.096970;1.096860;1.096950
20161101 031800;1.096960;1.097030;1.096940;1.097030
20161101 031900;1.097020;1.097070;1.097020;1.097070
20161101 032000;1.097060;1.097350;1.097060;1.097270
20161101 032100;1.097260;1.097380;1.097260;1.097330
20161101 032200;1.097320;1.097380;1.097310;1.097330
20161101 032300;1.097310;1.097410;1.097310;1.097390
20161101 032400;1.097390;1.097640;1.097390;1.097600
20161101 032500;1.097580;1.097700;1.097560;1.097620
20161101 032600;1.097650;1.097680;1.097480;1.097480
20161101 032700;1.097470;1.097570;1.097450;1.097560
20161101 032800;1.097550;1.097620;1.097490;1.097580
20161101 032900;1.097580;1.097740;1.097580;1.097630
20161101 033000;1.097640;1.097650;1.097380;1.097380
20161101 033100;1.097370;1.097500;1.097320;1.097460
20161101 033200;1.097450;1.097480;1.097420;1.097480
20161101 033300;1.097440;1.097590;1.097440;1.097480
20161101 033400;1.097480;1.097690;1.097460;1.097650
20161101 033500;1.097690;1.097970;1.097690;1.097940
20161101 033600;1.097930;1.097930;1.097850;1.097870
20161101 033700;1.097880;1.097880;1.097760;1.097840
20161101 033800;1.097850;1.098020;1.097780;1.097880
20161101 033900;1.097890;1.097950;1.097860;1.097950
20161101 034000;1.097930;1.098010;1.097900;1.098000
20161101 034100;1.097990;1.098010;1.097960;1.097980
20161101 034200;1.097970;1.097990;1.097870;1.097910
20161101 034300;1.097910;1.097910;1.097840;1.097860
20161101 034400;1.097870;1.097930;1.097850;1.097880
20161101 034500;1.097890;1.097940;1.097830;1.097830
20161101 034600;1.097810;1.097950;1.097800;1.097950
20161101 034700;1.097940;1.098010;1.097900;1.097990
20161101 034800;1.097980;1.098000;1.097900;1.097950
20161101 034900;1.097960;1.098030;1.097950;1.097990
20161101 035000;1.098000;1.098160;1.098000;1.098100
20161101 035100;1.098100;1.098160;1.098060;1.098070
20161101 035200;1.098080;1.098460;1.098080;1.098360
20161101 035300;1.098370;1.098480;1.098350;1.098460
20161101 035400;1.098460;1.098570;1.098450;1.098530
20161101 035500;1.098550;1.098620;1.098480;1.098550
20161101 035600;1.098590;1.098610;1.098500;1.098500
20161101 035700;1.098510;1.098560;1.098450;1.098510
20161101 035800;1.098540;1.098590;1.098460;1.098510
20161101 035900;1.098540;1.098630;1.098450;1.098480
20161101 040000;1.098490;1.098650;1.098400;1.098500
20161101 040100;1.098500;1.098560;1.098410;1.098450
20161101 040200;1.098430;1.098440;1.098350;1.098350
20161101 040300;1.098350;1.098350;1.098100;1.098140
20161101 040400;1.098140;1.098230;1.098090;1.098130
20161101 040500;1.098150;1.098170;1.098090;1.098150
20161101 040600;1.098160;1.098210;1.098160;1.098160
20161101 040700;1.098160;1.098210;1.098140;1.098190
20161101 040800;1.098200;1.098320;1.098200;1.098320
20161101 040900;1.098330;1.098480;1.098330;1.098470
20161101 041000;1.098460;1.098540;1.098350;1.098360
20161101 041100;1.098360;1.098770;1.098290;1.098760
20161101 041200;1.098750;1.098760;1.098640;1.098650
20161101 041300;1.098660;1.098710;1.098660;1.098660
20161101 041400;1.098650;1.098670;1.098600;1.098650
20161101 041500;1.098660;1.098670;1.098600;1.098610
20161101 041600;1.098620;1.098640;1.098560;1.098570
20161101 041700;1.098570;1.098610;1.098550;1.098610
20161101 041800;1.098630;1.098660;1.098600;1.098660
20161101 041900;1.098670;1.098870;1.098670;1.098820
20161101 042000;1.098820;1.098880;1.098810;1.098820
20161101 042100;1.098810;1.098820;1.098610;1.098710
20161101 042200;1.098700;1.098910;1.098700;1.098910
20161101 042300;1.098900;1.098920;1.098860;1.098920
20161101 042400;1.098900;1.098910;1.098850;1.098900
20161101 042500;1.098910;1.098910;1.098830;1.098860
20161101 042600;1.098850;1.098850;1.098700;1.098760
20161101 042700;1.098770;1.098860;1.098760;1.098860
20161101 042800;1.098860;1.099020;1.098860;1.098900
20161101 042900;1.098890;1.098890;1.098780;1.098800
20161101 043000;1.098810;1.098810;1.098640;1.098640
20161101 043100;1.098660;1.098660;1.098590;1.098620
20161101 043200;1.098630;1.098660;1.098590;1.098660
20161101 043300;1.098650;1.098780;1.098600;1.098720
20161101 043400;1.098750;1.098780;1.098640;1.098640
20161101 043500;1.098640;1.098720;1.098590;1.098680
20161101 043600;1.098670;1.098760;1.098640;1.098760
20161101 043700;1.098800;1.098860;1.098760;1.098820
20161101 043800;1.098830;1.098910;1.098800;1.098860
20161101 043900;1.098880;1.098960;1.098850;1.098960
20161101 044000;1.098970;1.099080;1.098800;1.098900
20161101 044100;1.098900;1.098940;1.098720;1.098940
20161101 044200;1.098920;1.099020;1.098870;1.099000
20161101 044300;1.099000;1.099120;1.099000;1.099090
20161101 044400;1.099110;1.099310;1.099080;1.099300
20161101 044500;1.099280;1.099280;1.099210;1.099210
20161101 044600;1.099250;1.099310;1.099160;1.099160
20161101 044700;1.099160;1.099260;1.099150;1.099200
20161101 044800;1.099190;1.099310;1.099170;1.099170
20161101 044900;1.099170;1.099170;1.098940;1.099000
20161101 045000;1.099010;1.099010;1.098860;1.098910
20161101 045100;1.098910;1.098910;1.098880;1.098890
20161101 045200;1.098870;1.098890;1.098750;1.098760
20161101 045300;1.098750;1.098860;1.098700;1.098790
20161101 045400;1.098770;1.098790;1.098650;1.098650
20161101 045500;1.098680;1.098800;1.098650;1.098800
20161101 045600;1.098820;1.098840;1.098790;1.098800
20161101 045700;1.098810;1.098960;1.098790;1.098960
20161101 045800;1.098950;1.098980;1.098820;1.098850
20161101 045900;1.098840;1.098860;1.098740;1.098790
20161101 050000;1.098800;1.099140;1.098800;1.099080
20161101 050100;1.099110;1.099270;1.099110;1.099150
20161101 050200;1.099160;1.099280;1.099160;1.099210
20161101 050300;1.099250;1.099290;1.099150;1.099260
20161101 050400;1.099240;1.099470;1.099220;1.099420
20161101 050500;1.099400;1.099490;1.099350;1.099390
20161101 050600;1.099390;1.099490;1.099370;1.099490
20161101 050700;1.099490;1.099510;1.099330;1.099390
20161101 050800;1.099390;1.099460;1.099350;1.099460
20161101 050900;1.099470;1.099480;1.099410;1.099420
20161101 051000;1.099410;1.099420;1.099150;1.099150
20161101 051100;1.099190;1.099190;1.099130;1.099150
20161101 051200;1.099160;1.099260;1.099150;1.099200
20161101 051300;1.099210;1.099210;1.099140;1.099170
20161101 051400;1.099170;1.099220;1.099140;1.099220
20161101 051500;1.099230;1.099360;1.099230;1.099290
20161101 051600;1.099340;1.099460;1.099270;1.099350
20161101 051700;1.099360;1.099400;1.099250;1.099290
20161101 051800;1.099270;1.099270;1.099140;1.099170
20161101 051900;1.099170;1.099280;1.099120;1.099270
20161101 052000;1.099290;1.099390;1.099260;1.099350
20161101 052100;1.099370;1.099510;1.099360;1.099510
20161101 052200;1.099520;1.099520;1.099460;1.099470
20161101 052300;1.099410;1.099460;1.099360;1.099380
20161101 052400;1.099370;1.099420;1.099310;1.099320
20161101 052500;1.099320;1.099470;1.099320;1.099460
20161101 052600;1.099460;1.099710;1.099460;1.099670
20161101 052700;1.099630;1.099660;1.099560;1.099570
20161101 052800;1.099560;1.099810;1.099440;1.099780
20161101 052900;1.099770;1.099800;1.099670;1.099700
20161101 053000;1.099710;1.099970;1.099700;1.099860
20161101 053100;1.099890;1.099900;1.099750;1.099780
20161101 053200;1.099780;1.099840;1.099750;1.099750
20161101 053300;1.099730;1.099770;1.099690;1.099700
20161101 053400;1.099690;1.099710;1.099570;1.099650
20161101 053500;1.099660;1.099890;1.099590;1.099870
20161101 053600;1.099850;1.099980;1.099830;1.099970
20161101 053700;1.099980;1.100060;1.099700;1.099740
20161101 053800;1.099750;1.099790;1.099650;1.099720
20161101 053900;1.099720;1.099750;1.099620;1.099640
20161101 054000;1.099640;1.100080;1.099630;1.099940
20161101 054100;1.099950;1.100010;1.099900;1.099940
20161101 054200;1.099950;1.100070;1.099770;1.099820
20161101 054300;1.099840;1.099900;1.099820;1.099830
20161101 054400;1.099870;1.099920;1.099680;1.099730
20161101 054500;1.099730;1.099830;1.099710;1.099820
20161101 054600;1.099830;1.099870;1.099810;1.099820
20161101 054700;1.099820;1.099820;1.099730;1.099760
20161101 054800;1.099770;1.099830;1.099730;1.099820
20161101 054900;1.099810;1.099870;1.099750;1.099850
20161101 055000;1.099850;1.099860;1.099670;1.099720
20161101 055100;1.099730;1.099780;1.099670;1.099680
20161101 055200;1.099670;1.099680;1.099490;1.099530
20161101 055300;1.099550;1.099570;1.099390;1.099480
20161101 055400;1.099490;1.099560;1.099460;1.099560
20161101 055500;1.099550;1.099570;1.099530;1.099570
20161101 055600;1.099570;1.099570;1.099500;1.099510
20161101 055700;1.099500;1.099510;1.099410;1.099410
20161101 055800;1.099420;1.099470;1.099420;1.099420
20161101 055900;1.099410;1.099480;1.099410;1.099420
20161101 060000;1.099410;1.099510;1.099400;1.099470
20161101 060100;1.099450;1.099460;1.099400;1.099410
20161101 060200;1.099410;1.099490;1.099360;1.099400
20161101 060300;1.099400;1.099520;1.099350;1.099520
20161101 060400;1.099500;1.099530;1.099440;1.099450
20161101 060500;1.099440;1.099510;1.099400;1.099420
20161101 060600;1.099440;1.099520;1.099440;1.099470
20161101 060700;1.099460;1.099480;1.099320;1.099420
20161101 060800;1.099420;1.099480;1.099380;1.099470
20161101 060900;1.099480;1.099480;1.099450;1.099460
20161101 061000;1.099480;1.099620;1.099460;1.099560
20161101 061100;1.099560;1.099630;1.099560;1.099580
20161101 061200;1.099580;1.099740;1.099580;1.099700
20161101 061300;1.099710;1.099740;1.099610;1.099630
20161101 061400;1.099630;1.099660;1.099550;1.099660
20161101 061500;1.099670;1.099790;1.099660;1.099720
20161101 061600;1.099690;1.099730;1.099670;1.099730
20161101 061700;1.099720;1.099820;1.099680;1.099820
20161101 061800;1.099800;1.099930;1.099770;1.099920
20161101 061900;1.099890;1.099890;1.099720;1.099770
20161101 062000;1.099780;1.099830;1.099770;1.099810
20161101 062100;1.099790;1.099820;1.099770;1.099780
20161101 062200;1.099770;1.099910;1.099750;1.099880
20161101 062300;1.099880;1.099910;1.099730;1.099730
20161101 062400;1.099720;1.099840;1.099710;1.099820
20161101 062500;1.099830;1.099950;1.099820;1.099870
20161101 062600;1.099890;1.100010;1.099820;1.099870
20161101 062700;1.099900;1.100320;1.099900;1.100230
20161101 062800;1.100260;1.100260;1.100030;1.100100
20161101 062900;1.100090;1.100120;1.099990;1.100070
20161101 063000;1.100040;1.100270;1.100040;1.100220
20161101 063100;1.100260;1.100300;1.100190;1.100260
20161101 063200;1.100250;1.100370;1.100230;1.100350
20161101 063300;1.100330;1.100360;1.100100;1.100200
20161101 063400;1.100190;1.100280;1.100070;1.100070
20161101 063500;1.100060;1.100080;1.099990;1.099990
20161101 063600;1.100000;1.100000;1.099840;1.099840
20161101 063700;1.099870;1.099960;1.099870;1.099960
20161101 063800;1.099960;1.099960;1.099850;1.099850
20161101 063900;1.099830;1.099840;1.099780;1.099810
20161101 064000;1.099830;1.099830;1.099710;1.099750
20161101 064100;1.099750;1.099840;1.099640;1.099800
20161101 064200;1.099810;1.099820;1.099770;1.099810
20161101 064300;1.099810;1.099850;1.099800;1.099820
20161101 064400;1.099830;1.099830;1.099810;1.099810
20161101 064500;1.099810;1.099870;1.099740;1.099760
